generacja,najlepszy_fitness,sredni_fitness,liczba_gatunkow,czas_epoki_s,avg_fitness_informed,avg_fitness_uninformed,neat_avg_worth,bench_hold6040,bench_momentum,bench_random,pct_bond,pct_stock,pct_crypto,pct_cash,avg_trades
1,567.14,332.19,1,3.53,317.78,346.59,1310.43,330.71,186.41,415.65,9.86,58.70,23.82,7.63,83.78
2,582.57,370.79,1,3.77,368.37,373.21,1783.80,378.56,221.14,390.68,8.48,62.45,21.92,7.16,107.17
3,607.95,384.42,1,3.53,378.22,390.62,1976.61,318.49,141.59,432.52,6.74,65.30,20.86,7.10,92.99
4,580.38,399.66,1,3.81,407.91,391.41,2269.34,334.80,662.72,406.30,5.48,66.30,22.22,5.99,102.97
5,610.22,416.33,1,3.47,430.64,402.02,2568.61,265.91,399.09,358.89,5.20,67.50,21.69,5.61,119.47
6,754.33,427.94,1,3.39,439.79,416.09,3096.71,396.13,980.94,483.12,4.96,64.41,26.29,4.34,109.15
7,634.52,421.86,2,3.40,420.82,422.90,2788.15,392.78,264.08,510.48,5.27,64.63,25.47,4.63,108.42
8,660.22,436.11,2,3.49,437.71,434.52,3064.24,355.29,393.62,503.02,5.78,65.68,23.95,4.58,137.48
9,670.31,423.99,2,3.49,428.33,419.64,2613.06,404.35,209.79,469.84,7.48,64.01,21.86,6.64,130.57
10,670.95,439.08,2,3.33,426.44,451.72,3057.20,299.14,656.81,337.11,5.15,64.54,24.28,6.03,132.17
11,873.60,448.81,2,3.44,441.67,455.94,3537.53,253.76,466.89,289.51,5.55,66.15,20.71,7.60,149.58
12,753.24,430.01,2,3.38,436.33,423.70,3219.68,414.23,624.25,464.33,8.01,69.05,17.37,5.57,142.31
13,692.26,438.08,2,3.45,450.70,425.46,3176.80,374.00,224.47,507.90,6.52,67.43,21.38,4.67,138.97
14,689.32,424.08,2,3.25,424.10,424.07,2807.11,424.83,534.63,474.65,6.03,65.50,24.01,4.46,132.48
15,797.97,438.42,2,3.22,426.92,449.93,3238.79,354.10,938.82,408.80,6.26,66.53,21.52,5.69,153.35
16,659.02,430.22,2,3.36,441.60,418.84,2952.96,350.67,700.42,436.32,6.77,68.11,19.49,5.63,148.07
17,790.78,444.02,2,3.21,432.91,455.13,3573.06,369.36,275.93,393.93,5.89,72.64,15.30,6.16,171.49
18,727.42,484.52,2,3.69,463.05,506.00,4279.52,403.08,769.71,483.80,5.78,73.13,14.30,6.79,197.39
19,650.28,425.07,2,3.48,422.47,427.67,2698.74,389.80,246.81,422.18,6.36,67.85,19.93,5.85,140.40
20,762.88,464.68,2,3.48,481.73,447.64,4029.98,454.86,184.80,419.93,7.64,68.62,17.52,6.22,174.38
21,723.04,411.74,2,3.31,408.43,415.06,2502.26,384.07,295.48,450.34,6.63,73.18,15.45,4.74,122.33
22,737.85,410.54,2,3.58,404.72,416.37,2676.52,359.63,182.76,445.18,6.62,71.09,18.06,4.22,125.29
23,725.83,445.76,2,3.54,449.64,441.88,3374.95,302.52,808.23,355.15,5.56,72.26,17.70,4.49,144.17
24,578.65,438.12,2,3.32,457.31,418.92,3017.53,366.16,1250.87,462.79,5.16,73.61,16.33,4.90,134.93
25,705.85,446.16,2,3.13,456.03,436.30,3379.87,387.47,668.15,488.36,5.85,69.49,19.41,5.25,153.86
26,814.53,482.64,2,3.16,462.02,503.25,4809.11,353.79,327.25,430.75,4.97,73.43,16.74,4.86,163.85
27,667.87,447.87,2,3.12,464.27,431.47,3521.83,351.35,470.77,392.35,5.10,67.76,21.83,5.31,143.74
28,602.24,448.32,2,3.08,449.77,446.87,3405.59,379.32,585.26,574.59,5.84,69.79,19.07,5.30,149.10
29,727.69,458.24,2,3.05,462.27,454.22,3804.41,369.06,140.80,392.12,6.63,73.61,15.08,4.68,165.36
30,643.60,428.41,2,2.97,417.58,439.25,2870.44,347.28,756.20,423.59,6.26,73.64,14.10,6.00,155.07
31,674.27,422.16,2,2.94,431.68,412.65,2593.52,321.77,542.91,356.47,7.12,70.32,14.69,7.87,147.36
32,605.81,370.70,2,2.97,387.74,353.66,1916.68,365.20,357.60,459.09,6.36,69.15,18.18,6.31,96.24
33,751.21,428.61,2,3.00,451.35,405.86,3441.40,320.41,347.98,372.02,5.33,74.98,14.49,5.19,127.04
34,628.88,406.12,2,2.94,421.46,390.77,2505.15,336.37,293.27,401.62,5.87,72.64,15.55,5.95,116.82
35,695.30,466.43,2,2.91,489.56,443.30,4377.58,323.46,274.24,460.61,6.05,73.94,13.84,6.18,173.56
36,658.60,443.48,2,3.00,455.43,431.52,3052.08,299.51,214.30,433.76,5.76,71.39,15.24,7.61,157.85
37,994.27,532.97,2,2.93,508.06,557.89,7668.13,379.51,598.21,558.62,6.27,75.65,12.62,5.46,226.55
38,747.14,439.34,2,2.97,406.52,472.16,3488.18,495.78,182.56,505.09,6.48,75.43,12.76,5.33,168.38
39,751.49,460.64,2,2.83,454.72,466.55,3920.33,406.52,326.85,425.07,5.44,74.36,14.95,5.25,164.84
40,744.75,435.99,2,2.66,439.66,432.32,3125.47,348.31,1589.97,380.07,5.02,69.52,19.55,5.90,149.02
41,691.91,466.25,2,2.66,449.69,482.80,3800.80,395.83,256.62,495.82,5.35,69.00,20.08,5.57,175.70
42,760.86,452.52,2,2.64,489.64,415.40,3817.87,352.68,816.44,425.72,5.27,68.67,19.81,6.26,173.79
43,742.10,466.07,2,2.76,473.85,458.28,3716.30,406.36,974.02,420.59,5.70,68.52,18.78,7.00,190.49
44,813.87,535.69,2,2.81,488.44,582.94,6373.18,401.27,213.87,467.95,5.18,75.94,13.40,5.48,249.95
45,625.76,419.21,2,2.72,442.35,396.08,2683.22,425.87,251.34,480.91,5.88,71.01,17.70,5.41,138.06
46,835.93,504.12,2,2.71,554.09,454.16,5214.48,412.19,244.68,485.99,5.27,75.23,12.49,7.02,237.96
47,850.25,550.17,2,3.07,462.49,637.86,7787.31,420.90,1024.81,502.16,5.05,80.08,9.93,4.94,258.39
48,893.76,541.60,2,2.91,466.57,616.63,8047.19,359.56,677.36,436.96,5.57,77.92,9.13,7.38,267.64
49,862.64,579.31,2,2.85,555.75,602.87,8642.75,299.21,645.84,392.89,5.81,77.12,11.70,5.37,309.19
50,771.29,492.03,2,2.68,482.55,501.50,5454.09,298.27,500.39,373.65,5.06,76.79,13.01,5.14,213.81
51,649.51,456.94,2,2.80,477.58,436.31,3733.55,308.29,361.02,401.27,5.05,75.27,14.60,5.09,172.02
52,904.22,548.28,2,2.89,492.10,604.46,8032.21,372.53,908.02,500.56,5.38,80.44,9.52,4.66,261.86
53,683.90,485.99,2,2.90,463.75,508.24,4858.63,327.01,209.00,472.00,5.95,78.39,10.98,4.69,201.65
54,821.84,556.26,2,3.01,531.81,580.72,8082.63,307.28,190.74,391.88,5.14,79.91,9.60,5.36,278.36
55,717.52,444.50,2,2.66,444.05,444.96,3282.63,418.35,641.12,482.91,5.55,76.20,12.45,5.81,163.98
56,653.16,466.84,2,2.66,461.05,472.64,3716.46,397.09,213.43,441.78,5.79,76.87,10.90,6.45,185.46
57,564.99,408.16,2,2.55,390.95,425.37,2419.02,380.87,260.93,511.54,5.40,74.05,12.79,7.75,126.80
58,885.20,553.92,2,2.59,457.37,650.46,9074.32,324.42,207.94,464.06,6.11,79.81,9.09,4.99,259.48
59,737.22,446.47,2,2.49,468.08,424.85,3329.91,329.78,182.66,403.75,6.77,71.58,15.47,6.18,166.00
60,811.15,503.59,2,2.41,536.71,470.46,5701.26,355.02,451.83,470.74,6.25,74.94,13.38,5.44,207.76
61,823.26,462.75,2,2.40,521.16,404.33,4010.05,334.28,769.44,426.86,6.23,69.08,19.33,5.35,160.20
62,919.36,495.04,2,2.46,547.23,442.86,5531.39,340.68,159.83,424.32,6.26,76.46,11.86,5.42,209.18
63,756.54,469.32,2,2.40,480.95,457.69,4304.44,373.28,237.74,471.43,5.43,74.84,13.39,6.34,182.74
64,652.70,434.34,2,2.37,455.94,412.74,3193.31,357.13,414.23,449.46,5.82,74.72,12.02,7.44,145.08
65,785.13,438.07,2,2.45,453.51,422.63,3145.00,337.58,175.12,412.77,5.62,70.15,17.03,7.20,153.13
66,700.60,435.86,2,2.39,458.17,413.54,3183.22,348.51,202.24,408.00,5.52,70.33,17.48,6.67,130.46
67,709.25,464.45,2,2.28,461.69,467.21,3971.35,361.73,175.76,450.41,5.62,68.50,20.13,5.74,168.33
68,736.28,476.62,2,2.37,484.05,469.18,4429.95,399.79,205.18,435.98,5.40,73.60,15.36,5.64,156.19
69,698.73,446.53,2,2.41,438.67,454.39,3260.57,308.38,289.09,364.90,5.28,73.90,16.00,4.82,148.40
70,781.37,499.17,2,2.36,453.64,544.71,5163.34,377.51,1411.00,485.25,5.02,77.77,12.25,4.96,177.99
71,724.99,424.87,2,2.34,411.99,437.74,3183.64,336.50,769.92,425.69,5.40,77.52,11.02,6.06,135.60
72,961.93,533.94,2,2.34,487.90,579.99,7257.06,281.82,598.69,336.64,6.09,78.81,8.84,6.26,222.73
73,814.86,467.67,2,2.26,446.29,489.05,4427.69,347.01,1200.73,452.42,5.87,76.81,11.60,5.72,164.31
74,655.87,449.41,2,2.25,436.82,462.00,3643.69,356.07,144.31,441.14,6.42,73.93,13.86,5.79,203.55
75,639.48,407.45,2,2.19,392.47,422.43,2505.45,347.35,160.23,425.40,6.49,71.73,13.78,8.00,150.59
76,807.32,484.18,2,2.20,435.08,533.28,5015.64,398.91,633.44,464.03,5.68,77.58,11.08,5.65,195.05
77,672.02,445.37,2,2.18,444.28,446.47,3161.63,391.58,1632.16,543.29,5.83,71.36,16.89,5.91,162.56
78,686.68,501.61,2,2.12,553.81,449.40,5285.01,398.97,238.60,560.76,5.64,73.66,15.57,5.14,218.58
79,708.26,456.84,2,2.16,419.92,493.76,3880.44,329.06,289.92,347.15,5.22,76.87,13.99,3.91,164.02
80,752.22,490.98,2,2.17,517.75,464.20,4380.47,293.05,165.60,435.92,5.16,69.36,19.53,5.94,180.47
81,814.32,516.85,2,2.30,469.26,564.44,6795.71,393.55,1256.22,485.06,5.28,76.29,12.71,5.71,243.65
82,815.75,565.26,2,2.27,566.88,563.63,7789.64,332.67,1474.70,419.80,6.09,70.20,17.19,6.51,273.58
83,732.82,433.42,2,2.31,412.59,454.25,3005.04,418.13,203.14,483.53,6.34,65.28,20.46,7.92,178.72
84,848.84,467.25,2,2.29,542.52,391.98,5344.00,368.98,296.43,452.95,6.04,76.98,11.34,5.64,201.24
85,1046.06,546.67,2,2.23,512.08,581.26,8908.17,302.80,522.02,343.54,6.29,79.57,9.67,4.47,240.00
86,856.66,534.66,2,2.24,505.68,563.64,6718.81,342.12,192.40,494.32,6.00,78.08,9.79,6.12,249.21
87,803.16,482.04,2,2.20,453.36,510.72,4552.64,353.67,1397.91,435.81,6.17,78.06,11.22,4.56,177.53
88,667.44,426.91,2,2.25,394.27,459.55,2918.60,439.08,712.04,560.22,6.04,67.86,18.61,7.49,153.06
89,1023.47,589.98,2,2.36,685.38,494.57,11836.98,368.16,826.38,487.28,5.31,80.55,9.43,4.71,269.69
90,664.16,448.67,2,2.28,456.10,441.24,3336.13,376.27,493.86,525.31,5.30,73.43,15.86,5.40,146.32
91,838.43,514.00,2,2.28,600.41,427.60,6521.81,308.35,558.85,426.82,5.51,79.88,10.38,4.23,217.72
92,693.19,492.87,2,2.25,469.36,516.37,4512.79,337.93,227.22,391.77,5.17,76.29,12.68,5.86,208.31
93,972.60,619.29,2,2.15,590.88,647.71,11952.54,358.33,250.92,502.30,5.21,78.56,11.59,4.64,283.45
94,613.08,413.35,2,2.14,403.31,423.38,2621.86,371.52,582.40,428.07,5.67,76.19,12.31,5.82,137.46
95,815.14,518.42,2,2.09,471.25,565.59,6246.60,392.78,226.92,425.39,5.77,80.68,9.70,3.86,182.49
96,781.40,518.49,2,2.15,509.19,527.79,5872.28,389.50,744.74,374.93,5.58,79.67,9.70,5.05,217.93
97,838.01,523.00,2,2.13,496.06,549.94,6617.90,390.00,686.78,512.35,5.69,78.80,10.25,5.26,207.02
98,590.23,436.73,2,2.12,436.62,436.83,2928.61,369.51,286.23,475.28,5.65,76.00,12.70,5.66,167.59
99,688.43,456.03,2,2.15,450.43,461.64,3396.37,435.55,268.47,526.98,5.92,73.58,14.82,5.68,165.11
100,662.77,452.26,2,2.18,459.52,444.99,3577.11,365.79,560.94,392.78,5.86,68.56,18.93,6.66,173.44
101,669.81,416.16,2,2.09,455.32,376.99,3084.65,344.83,301.24,384.36,6.48,75.83,12.52,5.17,142.39
102,642.96,433.25,2,2.06,425.89,440.62,3071.25,288.44,148.15,364.95,6.41,72.26,15.78,5.54,160.15
103,723.97,489.65,2,2.16,440.41,538.89,5268.07,399.04,504.73,438.65,5.25,77.95,11.18,5.61,182.81
104,789.66,529.17,2,2.12,528.22,530.12,6007.37,350.69,782.51,454.14,5.85,73.52,13.50,7.12,233.08
105,647.70,440.27,2,2.13,445.06,435.47,3042.15,294.38,306.84,379.60,6.10,65.91,20.18,7.81,159.29
106,633.82,431.62,2,2.10,448.13,415.11,3048.50,338.03,472.84,393.15,5.38,69.48,18.66,6.49,142.07
107,681.17,456.96,2,2.07,417.38,496.54,3705.36,335.44,245.43,426.51,5.33,75.56,13.40,5.70,153.72
108,733.67,448.43,2,2.11,401.65,495.21,3916.74,414.45,358.23,463.33,5.31,78.37,11.49,4.84,149.92
109,813.19,450.73,2,2.16,438.89,462.57,3615.00,371.96,282.20,433.85,4.81,70.92,20.31,3.96,165.74
110,891.01,538.81,2,2.17,491.69,585.94,7647.43,303.76,472.68,339.48,5.64,78.02,10.46,5.88,227.25
111,773.24,518.99,2,2.11,491.42,546.56,6121.59,362.75,1129.67,432.42,5.57,75.78,11.59,7.06,218.60
112,752.42,495.70,2,2.13,447.58,543.82,5223.65,397.63,427.26,463.88,5.78,75.99,10.30,7.93,184.72
113,638.44,428.84,2,2.08,444.56,413.11,3026.67,325.97,202.73,450.12,5.30,69.33,20.50,4.87,136.09
114,704.01,477.18,2,2.10,530.88,423.48,4385.85,340.77,554.26,472.67,6.00,72.83,15.68,5.49,190.68
115,713.12,527.82,2,2.07,479.81,575.84,6426.47,410.41,235.06,492.11,5.19,79.80,11.37,3.64,227.54
116,924.26,586.75,2,2.14,510.19,663.32,11615.16,289.79,156.63,344.85,6.72,77.96,9.54,5.77,273.15
117,720.40,421.75,2,2.05,425.08,418.42,2821.79,342.17,318.94,428.91,6.75,70.51,15.92,6.81,152.97
118,612.00,429.63,2,2.09,417.44,441.83,2964.76,346.50,142.46,389.10,6.36,72.20,11.66,9.79,146.02
